"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2016","166.19","167.29","167.74","166.00","1.76M","-0.57%"
"12/27/2016","167.14","166.98","167.98","166.85","1.40M","0.26%"
"12/23/2016","166.71","167.00","167.49","166.45","1.70M","-0.21%"
"12/22/2016","167.06","167.36","168.23","166.58","2.80M","-0.16%"
"12/21/2016","167.33","166.25","167.94","165.25","3.58M","-0.16%"
"12/20/2016","167.60","167.49","168.25","166.45","2.17M","0.55%"
"12/19/2016","166.68","166.83","167.26","166.00","2.96M","-0.03%"
"12/16/2016","166.73","168.97","169.11","166.06","7.12M","-0.77%"
"12/15/2016","168.02","168.01","169.85","167.78","3.39M","-0.29%"
"12/14/2016","168.51","168.37","169.89","167.45","4.12M","0.13%"
"12/13/2016","168.29","165.68","169.95","165.68","5.93M","1.69%"
"12/12/2016","165.50","166.72","166.79","165.07","3.39M","-0.61%"
"12/09/2016","166.52","165.18","166.72","164.60","3.15M","0.70%"
"12/08/2016","165.36","164.87","166.00","164.22","3.27M","0.35%"
"12/07/2016","164.79","160.60","165.18","160.39","4.44M","2.77%"
"12/06/2016","160.35","160.13","160.79","158.93","2.86M","0.32%"
"12/05/2016","159.84","160.85","161.15","159.59","3.45M","-0.11%"
"12/02/2016","160.02","159.00","160.29","158.41","2.74M","0.13%"
"12/01/2016","159.82","161.95","162.19","158.30","4.64M","-1.48%"
"11/30/2016","162.22","163.35","163.80","162.21","4.40M","-0.80%"
"11/29/2016","163.53","164.00","164.41","163.03","3.15M","-0.60%"
"11/28/2016","164.52","163.20","164.66","162.70","4.45M","0.85%"
"11/25/2016","163.14","161.83","163.19","161.83","1.61M","0.72%"
"11/23/2016","161.98","161.94","162.38","161.36","2.26M","-0.42%"
"11/22/2016","162.67","163.00","163.00","161.95","2.77M","-0.06%"
"11/21/2016","162.77","160.69","163.00","160.37","4.64M","1.48%"
"11/18/2016","160.39","159.80","160.72","159.21","2.98M","0.37%"
"11/17/2016","159.80","159.22","159.93","158.85","2.26M","0.32%"
"11/16/2016","159.29","158.46","159.55","158.03","2.25M","0.39%"
"11/15/2016","158.67","158.42","159.15","157.55","3.48M","0.29%"
"11/14/2016","158.21","161.25","161.86","157.58","5.20M","-1.90%"
"11/11/2016","161.27","159.97","161.34","159.33","4.45M","0.66%"
"11/10/2016","160.22","157.66","161.16","157.59","7.72M","3.49%"
"11/09/2016","154.81","152.96","155.56","151.00","5.40M","-0.23%"
"11/08/2016","155.17","154.56","155.93","153.06","3.92M","-0.35%"
"11/07/2016","155.72","153.99","156.11","153.84","3.80M","2.16%"
"11/04/2016","152.43","152.40","153.64","151.87","2.47M","0.04%"
"11/03/2016","152.37","152.51","153.74","151.80","2.88M","0.28%"
"11/02/2016","151.95","152.48","153.34","151.67","3.07M","-0.55%"
"11/01/2016","152.79","153.50","153.91","151.74","3.19M","-0.59%"
"10/31/2016","153.69","152.76","154.33","152.76","3.55M","0.71%"
"10/28/2016","152.61","154.05","154.44","152.18","3.65M","-0.48%"
"10/27/2016","153.35","152.82","154.06","152.02","4.23M","1.01%"
"10/26/2016","151.81","150.71","152.94","150.25","2.81M","0.62%"
"10/25/2016","150.88","150.69","151.16","149.83","2.65M","0.21%"
"10/24/2016","150.57","150.40","151.52","150.40","2.67M","0.63%"
"10/21/2016","149.63","150.58","151.15","149.56","4.41M","-1.25%"
"10/20/2016","151.52","151.28","152.90","151.02","4.02M","0.17%"
"10/19/2016","151.26","151.27","152.45","150.83","4.63M","0.36%"
"10/18/2016","150.72","150.02","151.00","147.79","12.77M","-2.62%"
"10/17/2016","154.77","154.45","155.89","154.34","5.89M","0.21%"
"10/14/2016","154.45","154.47","155.53","154.09","4.36M","0.47%"
"10/13/2016","153.72","153.70","154.22","152.27","2.91M","-0.37%"
"10/12/2016","154.29","154.97","154.97","153.08","2.96M","-0.32%"
"10/11/2016","154.79","156.73","156.95","153.89","2.90M","-1.42%"
"10/10/2016","157.02","156.71","158.49","156.66","2.48M","0.87%"
"10/07/2016","155.67","157.14","157.70","154.86","2.67M","-0.77%"
"10/06/2016","156.88","156.84","157.43","155.89","1.95M","-0.13%"
"10/05/2016","157.08","157.07","157.83","156.72","1.68M","0.40%"
"10/04/2016","156.46","157.67","158.53","155.82","2.88M","-0.73%"
"10/03/2016","157.61","158.06","158.37","157.02","2.23M","-0.78%"
"09/30/2016","158.85","158.90","159.84","158.06","3.60M","0.47%"
"09/29/2016","158.11","158.63","165.00","157.46","3.37M","-0.11%"
"09/28/2016","158.29","156.99","158.62","156.23","3.31M","0.97%"
"09/27/2016","156.77","154.32","156.77","153.81","2.99M","1.81%"
"09/26/2016","153.98","154.46","154.46","153.46","2.53M","-0.65%"
"09/23/2016","154.98","155.62","156.04","154.71","2.70M","-0.72%"
"09/22/2016","156.11","156.15","157.22","155.69","2.69M","0.37%"
"09/21/2016","155.53","154.91","155.68","153.87","2.47M","0.70%"
"09/20/2016","154.45","155.87","156.57","154.45","2.16M","-0.27%"
"09/19/2016","154.87","154.87","156.19","154.55","2.45M","0.67%"
"09/16/2016","153.84","155.04","155.40","153.47","6.46M","-1.17%"
"09/15/2016","155.66","154.30","156.33","153.21","3.66M","1.05%"
"09/14/2016","154.05","155.70","155.87","153.39","3.86M","-1.13%"
"09/13/2016","155.81","157.63","157.93","155.50","3.64M","-1.57%"
"09/12/2016","158.29","155.26","158.53","154.84","4.37M","1.67%"
"09/09/2016","155.69","158.03","158.40","155.65","5.19M","-2.08%"
"09/08/2016","159.00","160.55","161.21","158.76","3.96M","-1.63%"
"09/07/2016","161.64","160.19","161.76","160.00","2.87M","0.80%"
"09/06/2016","160.35","159.88","160.86","159.11","2.99M","0.50%"
"09/02/2016","159.55","159.88","160.57","159.15","2.32M","0.01%"
"09/01/2016","159.54","158.32","159.62","158.10","2.36M","0.42%"
"08/31/2016","158.88","159.66","159.66","158.26","2.32M","-0.33%"
"08/30/2016","159.40","159.76","160.15","158.81","1.81M","-0.20%"
"08/29/2016","159.72","158.83","160.21","158.50","2.48M","0.88%"
"08/26/2016","158.32","158.88","160.44","157.85","2.50M","-0.20%"
"08/25/2016","158.63","159.00","159.54","158.42","2.58M","-0.26%"
"08/24/2016","159.05","159.89","160.18","158.32","3.65M","-0.76%"
"08/23/2016","160.26","160.33","161.34","160.23","2.84M","0.16%"
"08/22/2016","160.00","160.00","160.57","159.13","2.04M","-0.02%"
"08/19/2016","160.04","160.84","160.91","159.52","2.82M","-0.82%"
"08/18/2016","161.36","160.89","162.00","160.44","3.65M","0.57%"
